x,y,z,date,scanner1,scanner2,scanner3,scanner4
6,3,1,2021-06-18 11:43:50.955000,-86,-84,-93,-89
6,3,1,2021-06-18 11:43:50.955000,-69,-80,-255,-255
6,3,1,2021-06-18 11:43:50.955000,-63,-78,-255,-255
6,3,1,2021-06-18 11:43:50.955000,-68,-255,-255,-255
6,3,1,2021-06-18 11:44:50.955000,-83,-79,-92,-88
6,3,1,2021-06-18 11:44:50.955000,-69,-80,-93,-89
6,3,1,2021-06-18 11:44:50.955000,-69,-82,-94,-255
6,3,1,2021-06-18 11:44:50.955000,-82,-79,-255,-255
6,3,1,2021-06-18 11:44:50.955000,-69,-255,-255,-255
6,3,1,2021-06-18 11:44:50.955000,-69,-255,-255,-255
6,3,1,2021-06-18 11:44:50.955000,-64,-255,-255,-255
6,3,1,2021-06-18 11:45:50.955000,-69,-82,-93,-90
6,3,1,2021-06-18 11:45:50.955000,-83,-79,-95,-255
6,3,1,2021-06-18 11:45:50.955000,-64,-79,-91,-255
6,3,1,2021-06-18 11:45:50.955000,-69,-78,-255,-255
6,3,1,2021-06-18 11:45:50.955000,-63,-83,-255,-255
6,3,1,2021-06-18 11:45:50.955000,-83,-79,-255,-255
6,3,1,2021-06-18 11:46:50.955000,-63,-82,-101,-90
6,3,1,2021-06-18 11:46:50.955000,-64,-79,-255,-255
6,3,1,2021-06-18 11:46:50.955000,-66,-79,-255,-255
6,3,1,2021-06-18 11:46:50.955000,-71,-77,-255,-255
6,3,1,2021-06-18 11:46:50.955000,-255,-85,-255,-255
6,3,1,2021-06-18 11:46:50.955000,-255,-85,-255,-255
6,3,1,2021-06-18 11:46:50.955000,-255,-79,-255,-255
6,3,1,2021-06-18 11:47:50.955000,-71,-80,-96,-255
6,3,1,2021-06-18 11:47:50.955000,-60,-79,-92,-255
6,3,1,2021-06-18 11:47:50.955000,-72,-79,-94,-255
6,3,1,2021-06-18 11:47:50.955000,-75,-80,-255,-255
6,3,1,2021-06-18 11:47:50.955000,-73,-79,-255,-255
6,3,1,2021-06-18 11:47:50.955000,-70,-80,-255,-255
4,3,1,2021-06-18 11:49:50.955000,-255,-85,-255,-255
4,3,1,2021-06-18 11:49:50.955000,-255,-80,-255,-255
4,3,1,2021-06-18 11:49:50.955000,-255,-88,-255,-255
4,3,1,2021-06-18 11:49:50.955000,-255,-82,-255,-255
4,3,1,2021-06-18 11:50:50.955000,-68,-102,-255,-255
4,3,1,2021-06-18 11:50:50.955000,-70,-88,-255,-255
4,3,1,2021-06-18 11:50:50.955000,-68,-82,-255,-255
4,3,1,2021-06-18 11:50:50.955000,-73,-95,-255,-255
4,3,1,2021-06-18 11:50:50.955000,-70,-255,-255,-255
4,3,1,2021-06-18 11:51:50.955000,-255,-81,-255,-87
4,3,1,2021-06-18 11:51:50.955000,-255,-90,-255,-87
4,3,1,2021-06-18 11:51:50.955000,-255,-88,-255,-255
4,3,1,2021-06-18 11:52:50.955000,-72,-255,-255,-86
4,3,1,2021-06-18 11:52:50.955000,-67,-255,-255,-87
4,3,1,2021-06-18 11:52:50.955000,-71,-255,-255,-85
4,3,1,2021-06-18 11:52:50.955000,-68,-255,-255,-255
4,3,1,2021-06-18 11:52:50.955000,-72,-255,-255,-255
4,3,1,2021-06-18 11:52:50.955000,-72,-255,-255,-255
4,3,1,2021-06-18 11:52:50.955000,-67,-255,-255,-255
4,3,1,2021-06-18 11:53:50.955000,-67,-255,-255,-86
4,3,1,2021-06-18 11:53:50.955000,-72,-255,-255,-86
4,3,1,2021-06-18 11:53:50.955000,-69,-255,-255,-88
4,3,1,2021-06-18 11:53:50.955000,-255,-255,-255,-86
5,2,1,2021-06-18 11:56:50.955000,-64,-76,-88,-85
5,2,1,2021-06-18 11:56:50.955000,-64,-76,-89,-87
5,2,1,2021-06-18 11:56:50.955000,-63,-75,-255,-87
5,2,1,2021-06-18 11:56:50.955000,-64,-76,-255,-255
5,2,1,2021-06-18 11:56:50.955000,-63,-75,-255,-255
5,2,1,2021-06-18 11:56:50.955000,-54,-255,-255,-255
5,2,1,2021-06-18 11:56:50.955000,-64,-255,-255,-255
5,2,1,2021-06-18 11:57:50.955000,-65,-78,-90,-86
5,2,1,2021-06-18 11:57:50.955000,-64,-75,-88,-86
5,2,1,2021-06-18 11:57:50.955000,-55,-77,-94,-87
5,2,1,2021-06-18 11:57:50.955000,-63,-75,-88,-86
5,2,1,2021-06-18 11:57:50.955000,-55,-76,-255,-85
5,2,1,2021-06-18 11:57:50.955000,-63,-255,-255,-255
5,2,1,2021-06-18 11:58:50.955000,-61,-75,-90,-86
5,2,1,2021-06-18 11:58:50.955000,-54,-77,-88,-85
5,2,1,2021-06-18 11:58:50.955000,-64,-75,-91,-86
5,2,1,2021-06-18 11:58:50.955000,-62,-76,-89,-86
5,2,1,2021-06-18 11:58:50.955000,-63,-77,-255,-255
5,2,1,2021-06-18 11:58:50.955000,-255,-74,-255,-255
5,2,1,2021-06-18 11:59:50.955000,-66,-75,-255,-84
5,2,1,2021-06-18 11:59:50.955000,-55,-78,-255,-86
5,2,1,2021-06-18 11:59:50.955000,-64,-76,-255,-255
5,2,1,2021-06-18 11:59:50.955000,-66,-77,-255,-255
5,2,1,2021-06-18 11:59:50.955000,-68,-255,-255,-255
5,2,1,2021-06-18 11:59:50.955000,-54,-255,-255,-255
5,2,1,2021-06-18 12:00:50.955000,-59,-76,-91,-86
5,2,1,2021-06-18 12:00:50.955000,-55,-77,-91,-86
5,2,1,2021-06-18 12:00:50.955000,-54,-75,-88,-87
5,2,1,2021-06-18 12:00:50.955000,-255,-77,-91,-86
5,2,1,2021-06-18 12:00:50.955000,-255,-76,-88,-88
5,2,1,2021-06-18 12:00:50.955000,-255,-77,-255,-255
5,2,1,2021-06-18 12:00:50.955000,-255,-77,-255,-255
5,2,1,2021-06-18 12:00:50.955000,-255,-75,-255,-255
4,2,1,2021-06-18 12:01:50.955000,-65,-255,-255,-84
4,2,1,2021-06-18 12:01:50.955000,-67,-255,-255,-84
4,2,1,2021-06-18 12:01:50.955000,-68,-255,-255,-87
4,2,1,2021-06-18 12:01:50.955000,-58,-255,-255,-84
4,2,1,2021-06-18 12:01:50.955000,-64,-255,-255,-90
4,2,1,2021-06-18 12:02:50.955000,-59,-73,-255,-88
4,2,1,2021-06-18 12:02:50.955000,-63,-86,-255,-90
4,2,1,2021-06-18 12:02:50.955000,-69,-70,-255,-88
4,2,1,2021-06-18 12:02:50.955000,-64,-88,-255,-88
4,2,1,2021-06-18 12:02:50.955000,-255,-70,-255,-88
4,2,1,2021-06-18 12:02:50.955000,-255,-73,-255,-255
4,2,1,2021-06-18 12:03:50.955000,-60,-84,-255,-89
4,2,1,2021-06-18 12:03:50.955000,-61,-73,-255,-89
4,2,1,2021-06-18 12:03:50.955000,-61,-70,-255,-255
4,2,1,2021-06-18 12:03:50.955000,-61,-73,-255,-255
4,2,1,2021-06-18 12:03:50.955000,-60,-84,-255,-255
4,2,1,2021-06-18 12:03:50.955000,-60,-70,-255,-255
4,2,1,2021-06-18 12:04:50.955000,-64,-74,-83,-88
4,2,1,2021-06-18 12:04:50.955000,-68,-83,-77,-89
4,2,1,2021-06-18 12:04:50.955000,-60,-70,-83,-91
4,2,1,2021-06-18 12:04:50.955000,-64,-70,-89,-89
4,2,1,2021-06-18 12:04:50.955000,-61,-255,-84,-89
4,2,1,2021-06-18 12:04:50.955000,-67,-255,-255,-255
4,2,1,2021-06-18 12:05:50.955000,-255,-84,-78,-89
4,2,1,2021-06-18 12:05:50.955000,-255,-70,-78,-91
4,2,1,2021-06-18 12:05:50.955000,-255,-74,-84,-88
4,2,1,2021-06-18 12:05:50.955000,-255,-86,-88,-87
4,2,1,2021-06-18 12:05:50.955000,-255,-76,-255,-255
4,2,1,2021-06-18 12:06:50.955000,-60,-255,-89,-255
4,2,1,2021-06-18 12:06:50.955000,-65,-255,-85,-255
4,2,1,2021-06-18 12:06:50.955000,-69,-255,-92,-255
4,2,1,2021-06-18 12:06:50.955000,-59,-255,-89,-255
4,2,1,2021-06-18 12:06:50.955000,-65,-255,-92,-255
4,2,1,2021-06-18 12:06:50.955000,-70,-255,-255,-255
4,2,1,2021-06-18 12:06:50.955000,-60,-255,-255,-255
4,3,1,2021-06-18 12:08:50.955000,-255,-65,-255,-77
4,3,1,2021-06-18 12:08:50.955000,-255,-65,-255,-81
4,3,1,2021-06-18 12:08:50.955000,-255,-60,-255,-78
4,3,1,2021-06-18 12:08:50.955000,-255,-66,-255,-255
4,3,1,2021-06-18 12:08:50.955000,-255,-67,-255,-255
4,3,1,2021-06-18 12:08:50.955000,-255,-62,-255,-255
4,3,1,2021-06-18 12:09:50.955000,-76,-255,-83,-75
4,3,1,2021-06-18 12:09:50.955000,-83,-255,-88,-80
4,3,1,2021-06-18 12:09:50.955000,-76,-255,-78,-78
4,3,1,2021-06-18 12:09:50.955000,-74,-255,-78,-76
4,3,1,2021-06-18 12:09:50.955000,-75,-255,-77,-75
4,3,1,2021-06-18 12:09:50.955000,-74,-255,-255,-78
4,3,1,2021-06-18 12:10:50.955000,-79,-59,-88,-255
4,3,1,2021-06-18 12:10:50.955000,-74,-65,-90,-255
4,3,1,2021-06-18 12:10:50.955000,-76,-59,-79,-255
4,3,1,2021-06-18 12:10:50.955000,-83,-66,-79,-255
4,3,1,2021-06-18 12:10:50.955000,-82,-60,-90,-255
4,3,1,2021-06-18 12:10:50.955000,-255,-65,-79,-255
4,3,1,2021-06-18 12:10:50.955000,-255,-62,-84,-255
4,3,1,2021-06-18 12:11:50.955000,-81,-255,-78,-255
4,3,1,2021-06-18 12:11:50.955000,-75,-255,-90,-255
4,3,1,2021-06-18 12:11:50.955000,-74,-255,-78,-255
4,3,1,2021-06-18 12:11:50.955000,-255,-255,-79,-255
4,3,1,2021-06-18 12:11:50.955000,-255,-255,-90,-255
4,3,1,2021-06-18 12:12:50.955000,-85,-59,-83,-84
4,3,1,2021-06-18 12:12:50.955000,-74,-66,-86,-255
4,3,1,2021-06-18 12:12:50.955000,-79,-66,-77,-255
4,3,1,2021-06-18 12:12:50.955000,-75,-68,-84,-255
4,3,1,2021-06-18 12:12:50.955000,-80,-66,-255,-255
4,3,1,2021-06-18 12:12:50.955000,-80,-255,-255,-255
4,3,1,2021-06-18 12:12:50.955000,-74,-255,-255,-255
4,3,1,2021-06-18 12:13:50.955000,-80,-59,-77,-75
4,3,1,2021-06-18 12:13:50.955000,-75,-66,-85,-79
4,3,1,2021-06-18 12:13:50.955000,-79,-64,-77,-77
4,3,1,2021-06-18 12:13:50.955000,-75,-59,-77,-74
4,3,1,2021-06-18 12:13:50.955000,-76,-65,-84,-74
4,3,1,2021-06-18 12:13:50.955000,-76,-255,-77,-255
4,3,1,2021-06-18 12:13:50.955000,-75,-255,-84,-255
1,3,1,2021-06-18 12:16:50.955000,-80,-66,-97,-83
1,3,1,2021-06-18 12:16:50.955000,-91,-71,-93,-82
1,3,1,2021-06-18 12:16:50.955000,-83,-73,-255,-82
1,3,1,2021-06-18 12:16:50.955000,-88,-65,-255,-83
1,3,1,2021-06-18 12:16:50.955000,-88,-72,-255,-82
1,3,1,2021-06-18 12:16:50.955000,-255,-67,-255,-81
1,3,1,2021-06-18 12:16:50.955000,-255,-66,-255,-255
1,3,1,2021-06-18 12:17:50.955000,-87,-67,-255,-81
1,3,1,2021-06-18 12:17:50.955000,-87,-255,-255,-83
1,3,1,2021-06-18 12:17:50.955000,-87,-255,-255,-83
1,3,1,2021-06-18 12:17:50.955000,-84,-255,-255,-81
1,3,1,2021-06-18 12:17:50.955000,-88,-255,-255,-81
1,3,1,2021-06-18 12:17:50.955000,-87,-255,-255,-79
1,3,1,2021-06-18 12:17:50.955000,-86,-255,-255,-255
1,3,1,2021-06-18 12:18:50.955000,-89,-72,-96,-80
1,3,1,2021-06-18 12:18:50.955000,-82,-66,-255,-82
1,3,1,2021-06-18 12:18:50.955000,-86,-72,-255,-79
1,3,1,2021-06-18 12:18:50.955000,-88,-73,-255,-84
1,3,1,2021-06-18 12:18:50.955000,-86,-67,-255,-255
1,3,1,2021-06-18 12:18:50.955000,-89,-67,-255,-255
1,3,1,2021-06-18 12:19:50.955000,-83,-72,-95,-84
1,3,1,2021-06-18 12:19:50.955000,-89,-67,-255,-83
1,3,1,2021-06-18 12:19:50.955000,-87,-66,-255,-84
1,3,1,2021-06-18 12:19:50.955000,-82,-67,-255,-83
1,3,1,2021-06-18 12:19:50.955000,-87,-67,-255,-255
1,3,1,2021-06-18 12:20:50.955000,-86,-255,-255,-255
1,3,1,2021-06-18 12:20:50.955000,-86,-255,-255,-255
1,3,1,2021-06-18 12:20:50.955000,-86,-255,-255,-255
1,3,1,2021-06-18 12:20:50.955000,-85,-255,-255,-255
1,3,1,2021-06-18 12:20:50.955000,-88,-255,-255,-255
1,3,1,2021-06-18 12:20:50.955000,-83,-255,-255,-255
1,3,1,2021-06-18 12:20:50.955000,-88,-255,-255,-255
2,2,1,2021-06-18 12:22:50.955000,-255,-57,-85,-74
2,2,1,2021-06-18 12:22:50.955000,-255,-65,-85,-81
2,2,1,2021-06-18 12:22:50.955000,-255,-66,-89,-84
2,2,1,2021-06-18 12:22:50.955000,-255,-57,-84,-82
2,2,1,2021-06-18 12:22:50.955000,-255,-57,-82,-83
2,2,1,2021-06-18 12:22:50.955000,-255,-66,-90,-255
2,2,1,2021-06-18 12:22:50.955000,-255,-59,-84,-255
2,2,1,2021-06-18 12:23:50.955000,-74,-255,-255,-80
2,2,1,2021-06-18 12:23:50.955000,-91,-255,-255,-80
2,2,1,2021-06-18 12:23:50.955000,-75,-255,-255,-75
2,2,1,2021-06-18 12:23:50.955000,-90,-255,-255,-76
2,2,1,2021-06-18 12:23:50.955000,-76,-255,-255,-78
2,2,1,2021-06-18 12:23:50.955000,-88,-255,-255,-79
2,2,1,2021-06-18 12:23:50.955000,-255,-255,-255,-76
2,2,1,2021-06-18 12:24:50.955000,-96,-58,-81,-79
2,2,1,2021-06-18 12:24:50.955000,-76,-57,-83,-74
2,2,1,2021-06-18 12:24:50.955000,-84,-66,-90,-75
2,2,1,2021-06-18 12:24:50.955000,-90,-58,-88,-255
2,2,1,2021-06-18 12:24:50.955000,-75,-58,-255,-255
2,2,1,2021-06-18 12:25:50.955000,-75,-58,-84,-75
2,2,1,2021-06-18 12:25:50.955000,-92,-57,-86,-78
2,2,1,2021-06-18 12:25:50.955000,-94,-67,-86,-77
2,2,1,2021-06-18 12:25:50.955000,-77,-58,-89,-83
2,2,1,2021-06-18 12:25:50.955000,-98,-58,-255,-255
2,2,1,2021-06-18 12:25:50.955000,-83,-255,-255,-255
2,2,1,2021-06-18 12:25:50.955000,-75,-255,-255,-255
2,2,1,2021-06-18 12:26:50.955000,-83,-66,-255,-77
2,2,1,2021-06-18 12:26:50.955000,-76,-58,-255,-78
2,2,1,2021-06-18 12:26:50.955000,-91,-68,-255,-75
2,2,1,2021-06-18 12:26:50.955000,-83,-58,-255,-78
2,2,1,2021-06-18 12:26:50.955000,-255,-60,-255,-75
2,2,1,2021-06-18 12:26:50.955000,-255,-58,-255,-78
2,2,1,2021-06-18 12:26:50.955000,-255,-58,-255,-255
2,2,1,2021-06-18 12:26:50.955000,-255,-68,-255,-255
2,2,1,2021-06-18 12:27:50.955000,-255,-58,-255,-255
2,2,1,2021-06-18 12:27:50.955000,-255,-67,-255,-255
2,2,1,2021-06-18 12:27:50.955000,-255,-67,-255,-255
2,2,1,2021-06-18 12:27:50.955000,-255,-57,-255,-255
2,2,1,2021-06-18 12:27:50.955000,-255,-57,-255,-255
1,2,1,2021-06-18 12:28:50.955000,-71,-82,-86,-78
1,2,1,2021-06-18 12:28:50.955000,-76,-55,-86,-73
1,2,1,2021-06-18 12:28:50.955000,-72,-56,-88,-74
1,2,1,2021-06-18 12:28:50.955000,-75,-55,-87,-73
1,2,1,2021-06-18 12:28:50.955000,-72,-56,-91,-255
1,2,1,2021-06-18 12:28:50.955000,-255,-255,-88,-255
1,2,1,2021-06-18 12:28:50.955000,-255,-255,-87,-255
1,2,1,2021-06-18 12:29:50.955000,-71,-55,-87,-70
1,2,1,2021-06-18 12:29:50.955000,-70,-54,-87,-74
1,2,1,2021-06-18 12:29:50.955000,-75,-55,-86,-78
1,2,1,2021-06-18 12:29:50.955000,-255,-54,-88,-80
1,2,1,2021-06-18 12:29:50.955000,-255,-56,-88,-77
1,2,1,2021-06-18 12:29:50.955000,-255,-56,-255,-81
1,2,1,2021-06-18 12:29:50.955000,-255,-55,-255,-255
1,2,1,2021-06-18 12:30:50.955000,-77,-55,-87,-78
1,2,1,2021-06-18 12:30:50.955000,-71,-55,-255,-74
1,2,1,2021-06-18 12:30:50.955000,-79,-56,-255,-78
1,2,1,2021-06-18 12:30:50.955000,-76,-55,-255,-72
1,2,1,2021-06-18 12:30:50.955000,-75,-54,-255,-255
1,2,1,2021-06-18 12:31:50.955000,-71,-255,-86,-255
1,2,1,2021-06-18 12:31:50.955000,-75,-255,-86,-255
1,2,1,2021-06-18 12:31:50.955000,-71,-255,-90,-255
1,2,1,2021-06-18 12:31:50.955000,-255,-255,-86,-255
1,2,1,2021-06-18 12:32:50.955000,-71,-255,-90,-77
1,2,1,2021-06-18 12:32:50.955000,-75,-255,-90,-255
1,2,1,2021-06-18 12:32:50.955000,-71,-255,-91,-255
1,2,1,2021-06-18 12:32:50.955000,-72,-255,-255,-255
1,2,1,2021-06-18 12:32:50.955000,-75,-255,-255,-255
4,6,1,2021-06-18 12:34:50.955000,-93,-255,-95,-255
4,6,1,2021-06-18 12:34:50.955000,-87,-255,-95,-255
4,6,1,2021-06-18 12:34:50.955000,-88,-255,-94,-255
4,6,1,2021-06-18 12:34:50.955000,-89,-255,-92,-255
4,6,1,2021-06-18 12:34:50.955000,-87,-255,-255,-255
4,6,1,2021-06-18 12:34:50.955000,-87,-255,-255,-255
4,6,1,2021-06-18 12:35:50.955000,-88,-255,-95,-77
4,6,1,2021-06-18 12:35:50.955000,-87,-255,-94,-88
4,6,1,2021-06-18 12:35:50.955000,-255,-255,-96,-87
4,6,1,2021-06-18 12:35:50.955000,-255,-255,-92,-83
4,6,1,2021-06-18 12:35:50.955000,-255,-255,-255,-79
4,6,1,2021-06-18 12:35:50.955000,-255,-255,-255,-73
4,6,1,2021-06-18 12:35:50.955000,-255,-255,-255,-81
4,6,1,2021-06-18 12:35:50.955000,-255,-255,-255,-76
4,6,1,2021-06-18 12:36:50.955000,-88,-255,-255,-84
4,6,1,2021-06-18 12:36:50.955000,-89,-255,-255,-75
4,6,1,2021-06-18 12:36:50.955000,-87,-255,-255,-73
4,6,1,2021-06-18 12:36:50.955000,-87,-255,-255,-74
4,6,1,2021-06-18 12:36:50.955000,-255,-255,-255,-76
4,6,1,2021-06-18 12:37:50.955000,-87,-255,-96,-75
4,6,1,2021-06-18 12:37:50.955000,-87,-255,-93,-85
4,6,1,2021-06-18 12:37:50.955000,-89,-255,-93,-84
4,6,1,2021-06-18 12:37:50.955000,-255,-255,-94,-84
4,6,1,2021-06-18 12:37:50.955000,-255,-255,-255,-75
4,6,1,2021-06-18 12:38:50.955000,-255,-255,-98,-86
4,6,1,2021-06-18 12:38:50.955000,-255,-255,-96,-74
4,6,1,2021-06-18 12:38:50.955000,-255,-255,-97,-75
4,6,1,2021-06-18 12:38:50.955000,-255,-255,-97,-76
4,6,1,2021-06-18 12:38:50.955000,-255,-255,-94,-75
4,6,1,2021-06-18 12:38:50.955000,-255,-255,-255,-85
4,6,1,2021-06-18 12:38:50.955000,-255,-255,-255,-85
1,6,1,2021-06-18 12:40:50.955000,-92,-255,-255,-255
1,6,1,2021-06-18 12:40:50.955000,-95,-255,-255,-255
1,6,1,2021-06-18 12:40:50.955000,-89,-255,-255,-255
1,6,1,2021-06-18 12:41:50.955000,-91,-255,-255,-69
1,6,1,2021-06-18 12:41:50.955000,-91,-255,-255,-72
1,6,1,2021-06-18 12:41:50.955000,-87,-255,-255,-67
1,6,1,2021-06-18 12:41:50.955000,-90,-255,-255,-68
1,6,1,2021-06-18 12:41:50.955000,-255,-255,-255,-69
1,6,1,2021-06-18 12:42:50.955000,-91,-255,-255,-71
