x,y,z,date,scanner1,scanner2,scanner3
4,2,1,2021-08-01 21:15:53.308000,-255,-79,-62
4,2,1,2021-08-01 21:15:53.308000,-255,-73,-255
4,2,1,2021-08-01 21:16:53.308000,-83,-79,-63
4,2,1,2021-08-01 21:16:53.308000,-83,-75,-66
4,2,1,2021-08-01 21:16:53.308000,-79,-90,-67
4,2,1,2021-08-01 21:16:53.308000,-86,-75,-66
4,2,1,2021-08-01 21:16:53.308000,-255,-78,-63
4,2,1,2021-08-01 21:16:53.308000,-255,-255,-66
4,2,1,2021-08-01 21:16:53.308000,-82,-88,-62
4,2,1,2021-08-01 21:16:53.308000,-82,-79,-89
4,2,1,2021-08-01 21:16:53.308000,-83,-90,-62
1,3,1,2021-08-01 21:18:53.308000,-90,-71,-255
1,3,1,2021-08-01 21:18:53.308000,-96,-71,-255
1,3,1,2021-08-01 21:18:53.308000,-85,-72,-255
1,3,1,2021-08-01 21:18:53.308000,-90,-70,-255
1,3,1,2021-08-01 21:18:53.308000,-98,-72,-255
1,3,1,2021-08-01 21:18:53.308000,-88,-255,-255
1,3,1,2021-08-01 21:18:53.308000,-83,-67,-255
1,3,1,2021-08-01 21:18:53.308000,-90,-71,-255
1,3,1,2021-08-01 21:18:53.308000,-83,-90,-255
1,3,1,2021-08-01 21:18:53.308000,-84,-76,-255
1,3,1,2021-08-01 21:18:53.308000,-255,-74,-255
1,3,1,2021-08-01 21:18:53.308000,-255,-72,-255
1,3,1,2021-08-01 21:19:53.308000,-102,-69,-75
1,3,1,2021-08-01 21:19:53.308000,-90,-71,-75
1,3,1,2021-08-01 21:19:53.308000,-96,-70,-68
1,3,1,2021-08-01 21:19:53.308000,-87,-72,-255
1,3,1,2021-08-01 21:19:53.308000,-96,-71,-255
1,3,1,2021-08-01 21:19:53.308000,-84,-255,-255
1,3,1,2021-08-01 21:19:53.308000,-89,-255,-255
1,3,1,2021-08-01 21:19:53.308000,-84,-74,-74
1,3,1,2021-08-01 21:19:53.308000,-83,-73,-75
1,3,1,2021-08-01 21:19:53.308000,-96,-74,-75
1,3,1,2021-08-01 21:19:53.308000,-255,-74,-74
1,3,1,2021-08-01 21:19:53.308000,-255,-75,-74
1,3,1,2021-08-01 21:19:53.308000,-255,-96,-75
1,3,1,2021-08-01 21:19:53.308000,-255,-75,-255
1,3,1,2021-08-01 21:20:53.308000,-87,-70,-75
1,3,1,2021-08-01 21:20:53.308000,-90,-70,-74
1,3,1,2021-08-01 21:20:53.308000,-95,-71,-74
1,3,1,2021-08-01 21:20:53.308000,-255,-72,-75
1,3,1,2021-08-01 21:20:53.308000,-255,-70,-84
1,3,1,2021-08-01 21:20:53.308000,-255,-255,-75
1,3,1,2021-08-01 21:20:53.308000,-91,-74,-75
1,3,1,2021-08-01 21:20:53.308000,-89,-74,-74
1,3,1,2021-08-01 21:20:53.308000,-84,-73,-74
1,3,1,2021-08-01 21:20:53.308000,-93,-76,-74
1,3,1,2021-08-01 21:20:53.308000,-255,-255,-74
1,3,1,2021-08-01 21:20:53.308000,-255,-255,-75
1,3,1,2021-08-01 21:20:53.308000,-255,-255,-75
2,3,1,2021-08-01 21:21:53.308000,-84,-74,-76
2,3,1,2021-08-01 21:21:53.308000,-85,-73,-75
2,3,1,2021-08-01 21:21:53.308000,-91,-75,-73
2,3,1,2021-08-01 21:21:53.308000,-83,-73,-74
2,3,1,2021-08-01 21:21:53.308000,-255,-73,-255
2,3,1,2021-08-01 21:21:53.308000,-255,-74,-255
2,3,1,2021-08-01 21:21:53.308000,-255,-94,-255
2,3,1,2021-08-01 21:21:53.308000,-100,-73,-68
2,3,1,2021-08-01 21:21:53.308000,-89,-70,-68
2,3,1,2021-08-01 21:21:53.308000,-255,-70,-75
2,3,1,2021-08-01 21:21:53.308000,-255,-72,-255
2,3,1,2021-08-01 21:21:53.308000,-255,-71,-255
2,3,1,2021-08-01 21:22:53.308000,-83,-72,-75
2,3,1,2021-08-01 21:22:53.308000,-84,-75,-74
2,3,1,2021-08-01 21:22:53.308000,-91,-73,-75
2,3,1,2021-08-01 21:22:53.308000,-94,-73,-75
2,3,1,2021-08-01 21:22:53.308000,-255,-73,-73
2,3,1,2021-08-01 21:22:53.308000,-92,-70,-75
2,3,1,2021-08-01 21:22:53.308000,-82,-73,-75
2,3,1,2021-08-01 21:22:53.308000,-87,-70,-78
2,3,1,2021-08-01 21:22:53.308000,-93,-72,-75
2,3,1,2021-08-01 21:22:53.308000,-91,-72,-86
2,3,1,2021-08-01 21:22:53.308000,-255,-255,-68
3,3,1,2021-08-01 21:24:53.308000,-255,-81,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-82,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-80,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-81,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-76,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-81,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-65,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-66,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-60,-255
3,3,1,2021-08-01 21:24:53.308000,-255,-61,-255
3,3,1,2021-08-01 21:25:53.308000,-80,-255,-86
3,3,1,2021-08-01 21:25:53.308000,-79,-255,-67
3,3,1,2021-08-01 21:25:53.308000,-80,-255,-85
3,3,1,2021-08-01 21:25:53.308000,-255,-255,-86
3,3,1,2021-08-01 21:25:53.308000,-255,-255,-65
3,3,1,2021-08-01 21:25:53.308000,-255,-255,-85
3,3,1,2021-08-01 21:25:53.308000,-74,-255,-75
3,3,1,2021-08-01 21:25:53.308000,-80,-255,-76
3,3,1,2021-08-01 21:25:53.308000,-81,-255,-75
3,3,1,2021-08-01 21:25:53.308000,-74,-255,-76
3,3,1,2021-08-01 21:25:53.308000,-82,-255,-74
