x,y,z,date,scanner1,scanner2,scanner3,dist1,dist2,dist3
3,2,1,2021-08-01 21:13:53.308000,-86,-72,-59,18.9380,6.4665,2.3841
3,2,1,2021-08-01 21:13:53.308000,-255,-78,-62,50.0000,10.2487,3.0015
3,2,1,2021-08-01 21:13:53.308000,-255,-79,-63,50.0000,11.0662,3.2409
3,2,1,2021-08-01 21:13:53.308000,-255,-71,-59,50.0000,5.9887,2.3841
3,2,1,2021-08-01 21:13:53.308000,-255,-72,-62,50.0000,6.4665,3.0015
3,2,1,2021-08-01 21:13:53.308000,-87,-78,-67,20.4487,10.2487,4.4055
3,2,1,2021-08-01 21:13:53.308000,-83,-75,-62,15.0430,8.1408,3.0015
3,2,1,2021-08-01 21:13:53.308000,-85,-75,-68,17.5388,8.1408,4.7570
3,2,1,2021-08-01 21:13:53.308000,-80,-75,-66,11.9490,8.1408,4.0801
3,2,1,2021-08-01 21:13:53.308000,-82,-255,-255,13.9316,50.0000,50.0000
3,2,1,2021-08-01 21:13:53.308000,-80,-255,-255,11.9490,50.0000,50.0000
4,2,1,2021-08-01 21:14:53.308000,-83,-90,-63,15.0430,25.7434,3.2409
4,2,1,2021-08-01 21:14:53.308000,-80,-79,-63,11.9490,11.0662,3.2409
4,2,1,2021-08-01 21:14:53.308000,-79,-75,-67,11.0662,8.1408,4.4055
4,2,1,2021-08-01 21:14:53.308000,-83,-80,-67,15.0430,11.9490,4.4055
4,2,1,2021-08-01 21:14:53.308000,-79,-255,-63,11.0662,50.0000,3.2409
4,2,1,2021-08-01 21:14:53.308000,-255,-255,-65,50.0000,50.0000,3.7786
4,2,1,2021-08-01 21:14:53.308000,-255,-255,-67,50.0000,50.0000,4.4055
4,2,1,2021-08-01 21:14:53.308000,-83,-86,-63,15.0430,18.9380,3.2409
4,2,1,2021-08-01 21:14:53.308000,-82,-71,-58,13.9316,5.9887,2.2080
4,2,1,2021-08-01 21:14:53.308000,-255,-88,-59,50.0000,22.0800,2.3841
4,2,1,2021-08-01 21:14:53.308000,-255,-77,-62,50.0000,9.4915,3.0015
4,2,1,2021-08-01 21:14:53.308000,-255,-72,-63,50.0000,6.4665,3.2409
4,2,1,2021-08-01 21:15:53.308000,-80,-75,-62,11.9490,8.1408,3.0015
4,2,1,2021-08-01 21:15:53.308000,-83,-78,-63,15.0430,10.2487,3.2409
4,2,1,2021-08-01 21:15:53.308000,-83,-91,-67,15.0430,27.7971,4.4055
4,2,1,2021-08-01 21:15:53.308000,-82,-75,-255,13.9316,8.1408,50.0000
4,2,1,2021-08-01 21:15:53.308000,-80,-79,-255,11.9490,11.0662,50.0000
4,2,1,2021-08-01 21:15:53.308000,-84,-75,-255,16.2430,8.1408,50.0000
4,2,1,2021-08-01 21:15:53.308000,-83,-87,-59,15.0430,20.4487,2.3841
4,2,1,2021-08-01 21:15:53.308000,-83,-88,-63,15.0430,22.0800,3.2409
4,2,1,2021-08-01 21:15:53.308000,-86,-72,-60,18.9380,6.4665,2.5743
4,2,1,2021-08-01 21:15:53.308000,-83,-78,-63,15.0430,10.2487,3.2409
4,2,1,2021-08-01 21:15:53.308000,-255,-86,-60,50.0000,18.9380,2.5743
4,2,1,2021-08-01 21:15:53.308000,-255,-79,-62,50.0000,11.0662,3.0015
4,2,1,2021-08-01 21:15:53.308000,-255,-73,-255,50.0000,6.9823,50.0000
4,2,1,2021-08-01 21:16:53.308000,-83,-79,-63,15.0430,11.0662,3.2409
4,2,1,2021-08-01 21:16:53.308000,-83,-75,-66,15.0430,8.1408,4.0801
4,2,1,2021-08-01 21:16:53.308000,-79,-90,-67,11.0662,25.7434,4.4055
4,2,1,2021-08-01 21:16:53.308000,-86,-75,-66,18.9380,8.1408,4.0801
4,2,1,2021-08-01 21:16:53.308000,-255,-78,-63,50.0000,10.2487,3.2409
4,2,1,2021-08-01 21:16:53.308000,-255,-255,-66,50.0000,50.0000,4.0801
4,2,1,2021-08-01 21:16:53.308000,-82,-88,-62,13.9316,22.0800,3.0015
4,2,1,2021-08-01 21:16:53.308000,-82,-79,-89,13.9316,11.0662,23.8415
4,2,1,2021-08-01 21:16:53.308000,-83,-90,-62,15.0430,25.7434,3.0015
1,3,1,2021-08-01 21:18:53.308000,-90,-71,-255,25.7434,5.9887,50.0000
1,3,1,2021-08-01 21:18:53.308000,-96,-71,-255,40.8006,5.9887,50.0000
1,3,1,2021-08-01 21:18:53.308000,-85,-72,-255,17.5388,6.4665,50.0000
1,3,1,2021-08-01 21:18:53.308000,-90,-70,-255,25.7434,5.5463,50.0000
1,3,1,2021-08-01 21:18:53.308000,-98,-72,-255,47.5700,6.4665,50.0000
