x,y,z,date,scanner1,scanner2,scanner3
3,5,1,2021-08-01 23:26:29.250000,-67,-84,-75
3,5,1,2021-08-01 23:26:29.250000,-75,-79,-78
3,5,1,2021-08-01 23:26:29.250000,-68,-255,-83
3,5,1,2021-08-01 23:26:29.250000,-73,-255,-255
3,5,1,2021-08-01 23:28:29.250000,-64,-72,-76
3,5,1,2021-08-01 23:28:29.250000,-65,-73,-68
3,5,1,2021-08-01 23:28:29.250000,-66,-73,-70
3,5,1,2021-08-01 23:28:29.250000,-65,-85,-77
3,5,1,2021-08-01 23:28:29.250000,-255,-255,-70
3,5,1,2021-08-01 23:28:29.250000,-255,-255,-77
3,5,1,2021-08-01 23:28:29.250000,-68,-80,-84
3,5,1,2021-08-01 23:28:29.250000,-68,-80,-85
3,5,1,2021-08-01 23:28:29.250000,-77,-77,-76
3,5,1,2021-08-01 23:28:29.250000,-67,-77,-85
3,5,1,2021-08-01 23:28:29.250000,-75,-80,-76
3,5,1,2021-08-01 23:28:29.250000,-255,-77,-85
4,5,1,2021-08-01 23:27:29.250000,-67,-80,-76
4,5,1,2021-08-01 23:27:29.250000,-74,-77,-76
4,5,1,2021-08-01 23:27:29.250000,-68,-80,-76
4,5,1,2021-08-01 23:27:29.250000,-77,-80,-76
4,5,1,2021-08-01 23:27:29.250000,-73,-82,-255
4,5,1,2021-08-01 23:27:29.250000,-255,-77,-255
4,5,1,2021-08-01 23:27:29.250000,-66,-89,-73
4,5,1,2021-08-01 23:27:29.250000,-64,-85,-74
4,5,1,2021-08-01 23:27:29.250000,-64,-93,-72
4,5,1,2021-08-01 23:27:29.250000,-65,-85,-73
4,5,1,2021-08-01 23:27:29.250000,-65,-89,-255
4,5,1,2021-08-01 23:27:29.250000,-64,-85,-255
4,5,1,2021-08-01 23:27:29.250000,-255,-72,-255
4,5,1,2021-08-01 23:27:29.250000,-255,-85,-255
3,6,1,2021-08-01 23:38:29.250000,-75,-85,-71
3,6,1,2021-08-01 23:38:29.250000,-71,-80,-78
3,6,1,2021-08-01 23:38:29.250000,-82,-85,-83
3,6,1,2021-08-01 23:38:29.250000,-71,-91,-72
3,6,1,2021-08-01 23:38:29.250000,-75,-255,-71
3,6,1,2021-08-01 23:38:29.250000,-84,-255,-84
3,6,1,2021-08-01 23:38:29.250000,-84,-255,-255
3,6,1,2021-08-01 23:38:29.250000,-71,-255,-255
3,6,1,2021-08-01 23:38:29.250000,-86,-76,-87
3,6,1,2021-08-01 23:38:29.250000,-81,-83,-80
