x,y,z,date,scanner1,scanner2,scanner3
4,2,1,2021-08-01 22:45:29.250000,-82,-86,-61
4,2,1,2021-08-01 22:45:29.250000,-76,-255,-63
4,2,1,2021-08-01 22:45:29.250000,-255,-255,-63
3,2,1,2021-08-01 22:46:29.250000,-79,-70,-63
3,2,1,2021-08-01 22:46:29.250000,-80,-59,-62
3,2,1,2021-08-01 22:46:29.250000,-80,-69,-63
3,2,1,2021-08-01 22:46:29.250000,-255,-63,-62
3,2,1,2021-08-01 22:46:29.250000,-255,-63,-62
3,2,1,2021-08-01 22:46:29.250000,-255,-58,-57
3,2,1,2021-08-01 22:46:29.250000,-255,-69,-255
3,2,1,2021-08-01 22:46:29.250000,-88,-72,-56
3,2,1,2021-08-01 22:46:29.250000,-80,-71,-51
3,2,1,2021-08-01 22:46:29.250000,-82,-71,-53
3,2,1,2021-08-01 22:46:29.250000,-88,-71,-52
3,2,1,2021-08-01 22:46:29.250000,-82,-255,-53
3,2,1,2021-08-01 22:46:29.250000,-255,-255,-54
3,2,1,2021-08-01 22:47:29.250000,-81,-59,-60
3,2,1,2021-08-01 22:47:29.250000,-76,-68,-61
3,2,1,2021-08-01 22:47:29.250000,-81,-58,-57
3,2,1,2021-08-01 22:47:29.250000,-80,-70,-60
3,2,1,2021-08-01 22:47:29.250000,-255,-62,-84
3,2,1,2021-08-01 22:47:29.250000,-255,-59,-255
3,2,1,2021-08-01 22:47:29.250000,-80,-69,-51
3,2,1,2021-08-01 22:47:29.250000,-82,-71,-53
3,2,1,2021-08-01 22:47:29.250000,-82,-71,-53
3,2,1,2021-08-01 22:47:29.250000,-84,-69,-52
3,2,1,2021-08-01 22:47:29.250000,-82,-71,-56
3,2,1,2021-08-01 22:47:29.250000,-82,-71,-51
2,3,1,2021-08-01 22:49:29.250000,-78,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-72,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-67,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-72,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-67,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-77,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-67,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-74,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-78,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-78,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-78,-255,-255
2,3,1,2021-08-01 22:49:29.250000,-75,-255,-255
1,3,1,2021-08-01 22:50:29.250000,-78,-62,-53
1,3,1,2021-08-01 22:50:29.250000,-74,-62,-76
1,3,1,2021-08-01 22:50:29.250000,-77,-61,-54
