x,y,z,date,scanner1,scanner2,scanner3
4,5,1,2021-08-01 21:46:53.308000,-85,-255,-89
4,5,1,2021-08-01 21:46:53.308000,-85,-255,-92
4,5,1,2021-08-01 21:46:53.308000,-77,-85,-92
4,5,1,2021-08-01 21:46:53.308000,-84,-78,-94
4,5,1,2021-08-01 21:46:53.308000,-77,-88,-88
4,5,1,2021-08-01 21:46:53.308000,-88,-85,-91
4,5,1,2021-08-01 21:46:53.308000,-84,-78,-255
4,5,1,2021-08-01 21:46:53.308000,-77,-85,-255
4,5,1,2021-08-01 21:46:53.308000,-255,-78,-255
4,5,1,2021-08-01 21:47:53.308000,-88,-81,-88
4,5,1,2021-08-01 21:47:53.308000,-86,-82,-88
4,5,1,2021-08-01 21:47:53.308000,-85,-82,-89
4,5,1,2021-08-01 21:47:53.308000,-85,-81,-89
4,5,1,2021-08-01 21:47:53.308000,-87,-81,-90
4,5,1,2021-08-01 21:47:53.308000,-81,-83,-255
4,5,1,2021-08-01 21:47:53.308000,-77,-87,-91
4,5,1,2021-08-01 21:47:53.308000,-84,-81,-91
4,5,1,2021-08-01 21:47:53.308000,-85,-87,-255
4,5,1,2021-08-01 21:47:53.308000,-77,-83,-255
4,5,1,2021-08-01 21:47:53.308000,-83,-84,-255
4,5,1,2021-08-01 21:47:53.308000,-255,-77,-255
4,5,1,2021-08-01 21:47:53.308000,-255,-83,-255
7,3,1,2021-08-01 22:44:53.308000,-92,-255,-59
7,3,1,2021-08-01 22:44:53.308000,-90,-255,-66
7,3,1,2021-08-01 22:44:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:44:53.308000,-255,-255,-58
7,3,1,2021-08-01 22:44:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:44:53.308000,-255,-255,-57
7,3,1,2021-08-01 22:44:53.308000,-255,-255,-57
7,3,1,2021-08-01 22:44:53.308000,-255,-255,-56
7,3,1,2021-08-01 22:45:53.308000,-91,-255,-59
7,3,1,2021-08-01 22:45:53.308000,-92,-255,-68
7,3,1,2021-08-01 22:45:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:45:53.308000,-255,-255,-68
7,3,1,2021-08-01 22:45:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:45:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:45:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:45:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:45:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:46:53.308000,-94,-255,-59
7,3,1,2021-08-01 22:46:53.308000,-90,-255,-58
7,3,1,2021-08-01 22:46:53.308000,-90,-255,-68
7,3,1,2021-08-01 22:46:53.308000,-92,-255,-66
7,3,1,2021-08-01 22:46:53.308000,-255,-255,-68
7,3,1,2021-08-01 22:46:53.308000,-255,-255,-67
7,3,1,2021-08-01 22:46:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:46:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:46:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:46:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:46:53.308000,-255,-255,-56
7,3,1,2021-08-01 22:47:53.308000,-91,-255,-66
7,3,1,2021-08-01 22:47:53.308000,-91,-255,-66
7,3,1,2021-08-01 22:47:53.308000,-97,-255,-67
7,3,1,2021-08-01 22:47:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:47:53.308000,-255,-255,-58
7,3,1,2021-08-01 22:47:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:47:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:47:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:47:53.308000,-255,-255,-57
7,3,1,2021-08-01 22:47:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:47:53.308000,-255,-255,-57
7,3,1,2021-08-01 22:48:53.308000,-92,-255,-69
7,3,1,2021-08-01 22:48:53.308000,-89,-255,-67
7,3,1,2021-08-01 22:48:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:48:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:48:53.308000,-255,-255,-67
7,3,1,2021-08-01 22:48:53.308000,-255,-255,-58
7,3,1,2021-08-01 22:48:53.308000,-255,-255,-66
7,3,1,2021-08-01 22:48:53.308000,-255,-255,-59
7,3,1,2021-08-01 22:48:53.308000,-255,-255,-57
7,3,1,2021-08-01 22:48:53.308000,-255,-255,-58
7,1,1,2021-08-01 22:50:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:50:53.308000,-255,-255,-50
7,1,1,2021-08-01 22:50:53.308000,-255,-255,-47
7,1,1,2021-08-01 22:50:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:50:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:50:53.308000,-255,-255,-47
7,1,1,2021-08-01 22:50:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:51:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:51:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:51:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:51:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:51:53.308000,-255,-255,-52
7,1,1,2021-08-01 22:51:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:52:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:52:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:52:53.308000,-255,-255,-54
7,1,1,2021-08-01 22:52:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:52:53.308000,-255,-255,-54
7,1,1,2021-08-01 22:52:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:52:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:53:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:53:53.308000,-255,-255,-48
7,1,1,2021-08-01 22:53:53.308000,-255,-255,-48
7,1,1,2021-08-01 22:53:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:53:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:53:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:53:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:54:53.308000,-255,-255,-53
7,1,1,2021-08-01 22:54:53.308000,-255,-255,-49
7,1,1,2021-08-01 22:54:53.308000,-255,-255,-55
7,1,1,2021-08-01 22:54:53.308000,-255,-255,-48
7,1,1,2021-08-01 22:54:53.308000,-255,-255,-49
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-71
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-64
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-55
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-62
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-53
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-49
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-49
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-54
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-55
5,1,1,2021-08-01 22:35:53.308000,-255,-255,-55
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-63
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-64
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-63
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-64
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-53
5,1,1,2021-08-01 22:38:53.308000,-255,-255,-64
