x,y,z,date,scanner1,scanner2,scanner3,scanner4,dist1,dist2,dist3,dist4
3,6,1,2021-08-01 22:20:48.419000,-255,-255,-255,-84,50.0000,50.0000,50.0000,16.2430
3,6,1,2021-08-01 22:20:48.419000,-255,-255,-255,-72,50.0000,50.0000,50.0000,6.4665
3,6,1,2021-08-01 22:20:48.419000,-255,-255,-255,-71,50.0000,50.0000,50.0000,5.9887
3,6,1,2021-08-01 22:20:48.419000,-255,-255,-255,-80,50.0000,50.0000,50.0000,11.9490
2,6,1,2021-08-01 22:21:48.419000,-77,-255,-85,-255,9.4915,50.0000,17.5388,50.0000
2,6,1,2021-08-01 22:21:48.419000,-79,-255,-255,-255,11.0662,50.0000,50.0000,50.0000
2,6,1,2021-08-01 22:21:48.419000,-78,-255,-255,-255,10.2487,50.0000,50.0000,50.0000
2,6,1,2021-08-01 22:21:48.419000,-77,-255,-255,-255,9.4915,50.0000,50.0000,50.0000
2,6,1,2021-08-01 22:21:48.419000,-76,-255,-255,-255,8.7902,50.0000,50.0000,50.0000
2,6,1,2021-08-01 22:21:48.419000,-79,-255,-255,-255,11.0662,50.0000,50.0000,50.0000
2,6,1,2021-08-01 22:21:48.419000,-78,-255,-255,-255,10.2487,50.0000,50.0000,50.0000
2,6,1,2021-08-01 22:21:48.419000,-90,-255,-86,-255,25.7434,50.0000,18.9380,50.0000
2,6,1,2021-08-01 22:21:48.419000,-73,-255,-83,-255,6.9823,50.0000,15.0430,50.0000
2,6,1,2021-08-01 22:21:48.419000,-60,-255,-79,-255,2.5743,50.0000,11.0662,50.0000
2,6,1,2021-08-01 22:21:48.419000,-67,-255,-255,-255,4.4055,50.0000,50.0000,50.0000
2,6,1,2021-08-01 22:21:48.419000,-60,-255,-255,-255,2.5743,50.0000,50.0000,50.0000
2,6,1,2021-08-01 22:22:48.419000,-78,-79,-255,-84,10.2487,11.0662,50.0000,16.2430
2,6,1,2021-08-01 22:22:48.419000,-78,-88,-255,-79,10.2487,22.0800,50.0000,11.0662
2,6,1,2021-08-01 22:22:48.419000,-78,-79,-255,-79,10.2487,11.0662,50.0000,11.0662
2,6,1,2021-08-01 22:22:48.419000,-79,-77,-255,-255,11.0662,9.4915,50.0000,50.0000
2,6,1,2021-08-01 22:22:48.419000,-73,-75,-255,-72,6.9823,8.1408,50.0000,6.4665
2,6,1,2021-08-01 22:22:48.419000,-60,-70,-255,-76,2.5743,5.5463,50.0000,8.7902
2,6,1,2021-08-01 22:22:48.419000,-74,-76,-255,-72,7.5393,8.7902,50.0000,6.4665
2,6,1,2021-08-01 22:22:48.419000,-87,-76,-255,-71,20.4487,8.7902,50.0000,5.9887
2,6,1,2021-08-01 22:22:48.419000,-60,-70,-255,-72,2.5743,5.5463,50.0000,6.4665
2,6,1,2021-08-01 22:22:48.419000,-65,-76,-255,-73,3.7786,8.7902,50.0000,6.9823
2,6,1,2021-08-01 22:22:48.419000,-60,-255,-255,-72,2.5743,50.0000,50.0000,6.4665
2,6,1,2021-08-01 22:22:48.419000,-74,-255,-255,-255,7.5393,50.0000,50.0000,50.0000
1,6,1,2021-08-01 22:23:48.419000,-255,-92,-86,-74,50.0000,30.0147,18.9380,7.5393
1,6,1,2021-08-01 22:23:48.419000,-255,-76,-86,-72,50.0000,8.7902,18.9380,6.4665
1,6,1,2021-08-01 22:23:48.419000,-255,-75,-88,-75,50.0000,8.1408,22.0800,8.1408
1,6,1,2021-08-01 22:23:48.419000,-255,-70,-87,-73,50.0000,5.5463,20.4487,6.9823
1,6,1,2021-08-01 22:23:48.419000,-255,-70,-86,-76,50.0000,5.5463,18.9380,8.7902
1,6,1,2021-08-01 22:23:48.419000,-255,-255,-84,-74,50.0000,50.0000,16.2430,7.5393
1,6,1,2021-08-01 22:23:48.419000,-255,-255,-87,-255,50.0000,50.0000,20.4487,50.0000
1,6,1,2021-08-01 22:23:48.419000,-255,-90,-82,-83,50.0000,25.7434,13.9316,15.0430
1,6,1,2021-08-01 22:23:48.419000,-255,-80,-78,-83,50.0000,11.9490,10.2487,15.0430
1,6,1,2021-08-01 22:23:48.419000,-255,-73,-255,-78,50.0000,6.9823,50.0000,10.2487
1,6,1,2021-08-01 22:23:48.419000,-255,-85,-255,-88,50.0000,17.5388,50.0000,22.0800
2,5,1,2021-08-01 22:25:48.419000,-87,-255,-255,-255,20.4487,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-89,-255,-255,-255,23.8415,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-86,-255,-255,-255,18.9380,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-90,-255,-255,-255,25.7434,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-85,-255,-255,-255,17.5388,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-91,-255,-255,-255,27.7971,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-89,-255,-255,-255,23.8415,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-69,-255,-255,-255,5.1365,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-70,-255,-255,-255,5.5463,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-66,-255,-255,-255,4.0801,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-69,-255,-255,-255,5.1365,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-69,-255,-255,-255,5.1365,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-88,-255,-255,-255,22.0800,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-65,-255,-255,-255,3.7786,50.0000,50.0000,50.0000
2,5,1,2021-08-01 22:25:48.419000,-71,-255,-255,-255,5.9887,50.0000,50.0000,50.0000
1,5,1,2021-08-01 22:26:48.419000,-70,-70,-78,-81,5.5463,5.5463,10.2487,12.9023
1,5,1,2021-08-01 22:26:48.419000,-69,-70,-88,-80,5.1365,5.5463,22.0800,11.9490
1,5,1,2021-08-01 22:26:48.419000,-66,-255,-71,-74,4.0801,50.0000,5.9887,7.5393
1,5,1,2021-08-01 22:26:48.419000,-68,-255,-90,-72,4.7570,50.0000,25.7434,6.4665
