x,y,z,date,scanner1,scanner2,scanner3,scanner4
1,6,1,2021-08-01 22:23:48.419000,-255,-90,-82,-83
1,6,1,2021-08-01 22:23:48.419000,-255,-80,-78,-83
1,6,1,2021-08-01 22:23:48.419000,-255,-73,-255,-78
1,6,1,2021-08-01 22:23:48.419000,-255,-85,-255,-88
2,5,1,2021-08-01 22:25:48.419000,-87,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-89,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-86,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-90,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-85,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-91,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-89,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-69,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-70,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-66,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-69,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-69,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-88,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-65,-255,-255,-255
2,5,1,2021-08-01 22:25:48.419000,-71,-255,-255,-255
1,5,1,2021-08-01 22:26:48.419000,-70,-70,-78,-81
1,5,1,2021-08-01 22:26:48.419000,-69,-70,-88,-80
1,5,1,2021-08-01 22:26:48.419000,-66,-255,-71,-74
1,5,1,2021-08-01 22:26:48.419000,-68,-255,-90,-72
1,5,1,2021-08-01 22:26:48.419000,-71,-255,-89,-255
1,5,1,2021-08-01 22:26:48.419000,-66,-255,-255,-255
1,5,1,2021-08-01 22:26:48.419000,-85,-76,-84,-81
1,5,1,2021-08-01 22:26:48.419000,-89,-76,-77,-86
1,5,1,2021-08-01 22:26:48.419000,-85,-82,-84,-71
1,5,1,2021-08-01 22:26:48.419000,-86,-77,-255,-81
